store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Rick Hendrick Jeep Chrysler Dodge RAM,,8333 Rivers Avenue,,North Charleston,SC,29406,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Darrell Waltrip Subaru,,1450 Murfreesboro Rd,,Franklin,TN,37067,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Performance Subaru,,1810 Durham-Chapel Hill Blvd.,,Chapel Hill,NC,27514,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Toyota Merriam,,9505 W. 67th Street,,Merriam,KS,66203,United States,,,,,,0
Hendrick Toyota North Charleston,,7151 Rivers Avenue,,North Charleston,SC,29406,United States,,,,,,0
Hendrick Toyota Scion Apex,,1210 Laura Village Drive,,Apex,NC,27523,United States,,,,,,0
Hendrick Toyota Scion Concord,,7670 BRUTON SMITH BLVD.,,CONCORD,NC,28027,United States,,,,,,0
Hendrick Toyota Scion Wilmington,,5640 Market Street,,Wilmington,NC,28405,United States,,,,,,0
Rick Hendrick Toyota Scion,,1969 Skibo Road,,Fayetteville,NC,28314,United States,,,,,,0
Rick Hendrick Toyota Scion Sandy Springs,,6475 Roswell Road,,Atlanta,GA,30328,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Volkswagen Frisco,,5010 State Highway 121,,Frisco,TX,75034,United States,,,,,,0
Hendrick Volkswagen of Concord,,7500 Hendrick Auto Plaza NW,,Concord,NC,28027,United States,,,,,,0
Volkswagen of Murrieta,,41300 Date St,,Murrieta,CA,92562,United States,,,,,,0
Darrell Waltrip Volvo,,1452 Murfreesboro Road,,Franklin,TN,37067,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Volvo of Charleston,,1518 Savannah Highway,,Charleston,SC,29407,United States,,,,,,0
